typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","418","LAO","Lao People's Dem. Rep.","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"20792565.488","20792565.488","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","583","FSM","FS Micronesia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1298724.263","1298724.263","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","598","PNG","Papua New Guinea","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"11657450.357","11657450.357","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","776","TON","Tonga","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"586983.565","586983.565","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","212","DMA","Dominica","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1219128.61","1219128.61","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","408","PRK","Dem. People's Rep. of Korea","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"34671.707","34671.707","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","500","MSR","Montserrat","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"992224.67","992224.67","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","574","NFK","Norfolk Isds","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"17381.036","17381.036","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","660","AIA","Anguilla","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"139467.967","139467.967","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","60","BMU","Bermuda","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"362927.568","362927.568","0","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","558","NIC","Nicaragua","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"16001094.401","16001094.401","4","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","258","PYF","French Polynesia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"22715631.819","22715631.819","4","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","729","SDN","Sudan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"86881206.202","86881206.202","4","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","20","AND","Andorra","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"8414889.546","8414889.546","4","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","12","DZA","Algeria","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"557921686.017","557921686.017","4","false","true",
"C","A","20230101","2023","52","2023","56","BEL","Belgium","X","Export","251","FRA","France","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"51313375845.483","51313375845.483","4","false","true",
